CROSS_ID,SA_ID,DIST,CROSS_NAME,SEQU,UPDOWN
129,SA1,아레나,보훈지청 (감자바위) 사거리,3,UP
130,SA1,아레나,법원 입구 삼거리,2,UP
132,SA1,아레나,경포동사무소 교차로,1,UP
72,SA10,송정동,안목 사거리,1,UP
222,SA10,송정동,송정사거리,3,UP
224,SA10,송정동,신도브레뉴 후문 삼거리,2,UP
268,SA11,송정동,공항대교 남단 교차로,0,0
19,SA13,도심(강릉역),강릉경찰서 사거리,0,0
19,SA13,송정동,강릉경찰서 사거리,2,UP
58,SA13,송정동,포남교 북단교차로,1,UP
101,SA14,송정동,포남교남단 교차로,2,UP
260,SA14,송정동,입암6주공 오거리,1,UP
17,SA16,도심(강릉역),강릉관광 사거리,0,0
53,SA18,도심(강릉역),용지각 사거리,0,0
95,SA19,도심(강릉역),월드컵대교남단 교차로,0,0
136,SA2,아레나,경포 오거리,0,0
86,SA22,도심(강릉역),남산교(남부지구대) 교차로,1,UP
89,SA22,도심(강릉역),강릉교 남단 교차로,2,UP
93,SA23,도심(강릉역),부흥마을(더샾아파트후문) 사거리,0,0
39,SA24,도심(강릉역),남문사거리,2,UP
43,SA24,도심(강릉역),객사문(한국은행) 교차로,3,UP
85,SA24,도심(강릉역),내곡교 남단 교차로,1,UP
7,SA26-1,도심(강릉역),적십자 사거리,1,UP
10,SA26-1,도심(강릉역),교동사거리,2,UP
2,SA27-1,도심(강릉역),강릉시청 삼거리,1,UP
3,SA27-1,도심(강릉역),터미널 오거리,2,UP
37,SA28,도심(강릉역),자동차검사소 교차로,0,0
81,SA29-2,도심(강릉역),홍제교 남단 교차로,0,0
143,SA3,아레나,율곡교차로,2,UP
147,SA3,아레나,이명 사거리,1,UP
248,SA30,도심(강릉역),유산내곡(남산한라) 사거리,1,UP
250,SA30,도심(강릉역),남산한라 삼거리,2,UP
77,SA31,도심(강릉역),회산 서희 사거리,1,UP
79,SA31,도심(강릉역),회산교 남단 교차로,2,UP
178,SA32,교동지구,솔올야구장 사거리,5,UP
181,SA32,교동지구,솔올중학교 삼거리,4,UP
182,SA32,교동지구,부영6단지 사거리,2,UP
183,SA32,교동지구,송원불가마 3거리,3,UP
207,SA32,교동지구,로하스빌 사거리,1,UP
179,SA33,교동지구,경포초등학교 사거리,0,0
177,SA34-1,교동지구,서부지구대 사거리,3,UP
197,SA34-1,교동지구,교1동주민센터 사거리,2,UP
199,SA34-1,교동지구,식자재마트 사거리,1,UP
194,SA34-2,교동지구,강릉치과대학 사거리,1,UP
195,SA34-2,교동지구,솔올교차로 (7번국도),2,UP
202,SA34-2,교동지구,오아시스 사거리,3,UP
229,SA37,교동지구,위촌리 사거리,0,0
184,SA38,교동지구,교동 2주공 삼거리,0,0
210,SA39-1,교동지구,현대자동차강일점 삼거리,0,0
193,SA4-1,아레나,행복예식장 교차로,0,0
138,SA5,아레나,이젠 삼거리,0,0
217,SA6,아레나,커피박물관 사거리,0,0
20,SA7-1,송정동,동인병원 오거리,1,UP
22,SA7-1,송정동,한솔초등학교 사거리,2,UP
63,SA8,송정동,이마트 삼거리,0,0
67,SA9,송정동,동명초등학교 교차로,0,0
